District,Station,HQ_Years,Rainfall_Total_mm_Mean,Rainfall_Total_mm_SD,Mean_Temp_C_Mean,Mean_Temp_C_SD,Drought_Index_Mean,Moisture_Adequacy_Index_Mean,Heat_Days_Tmax_ge_35C_Mean,Dry_Days_Rain_lt_1mm_Mean
Ahmednagar,Rahuri,9,401.06666666666666,313.62786068842803,25.193004091256423,0.6845604079123536,-0.7942928558333002,0.36688015609278235,93.22222222222223,315.22222222222223
Nashik,Niphad,10,646.5600000000001,163.16360705337036,23.759732084502108,0.6947209711777392,-0.6913627047608615,,76.9,299.1
Solapur,Solapur,23,698.1043478260871,176.4006686192772,27.284100311618385,0.4047218800921827,-0.6694368192209997,1.7602258187068145,130.2173913043478,303.5652173913044
