District,Variable,Breakpoint_Year,Breakpoint_Index,Pettitt_Statistic,P_Value,Significant
Nashik,Yield_tonnes_per_hectare,2009,1,11.0,1.0,No
Solapur,Yield_tonnes_per_hectare,2010,2,6.0,1.0,No
