Year,Yield_t_ha,Category,Rainfall_mm,Mean_Temp_C,Drought_Index
2003-2004,47.65,Bottom 3,80.7,25.37611940298508,-0.9537615309688878
2015-2016,58.78,Bottom 3,659.3000000000001,26.33907103825136,-0.7274606258525897
2004-2005,58.93,Bottom 3,58.89999999999999,24.9730659025788,-0.966854248733821
