District,Year,Yield_t_ha
Nashik,2020-2021,102.78
Nashik,2018-2019,94.40777777777777
Nashik,2016-2017,85.28999999999999
Solapur,2020-2021,105.23
Solapur,2017-2018,99.92727272727274
Solapur,2010-2011,96.44545454545454
