Variable,ANOVA_F,ANOVA_P,Kruskal_Wallis_H,Kruskal_Wallis_P,Period1_Mean,Period2_Mean,Period3_Mean
Area (ha),11.40043209927187,0.0005583406320165571,12.027103331451144,0.0024453875395660137,54175.0,109742.85714285714,102167.14285714286
Production (tonnes),9.23552681184898,0.001577786051959607,10.290372670807443,0.005827388414062451,3880975.0,9087242.857142856,9097573.92
Yield (t/ha),3.053875652308825,0.07079212282296135,5.133963862224732,0.07676688389447364,69.04875,82.19714285714285,86.80571428571429
