Period,Variable,Mean,SD,CV_Pct,Min,Max
Period 1 (1999-2006),Area (ha),54175.0,23333.406462470437,43.07043186427399,17000.0,93500.0
Period 1 (1999-2006),Production (tonnes),3880975.0,1918887.889042579,49.44344885093512,1001800.0,6137800.0
Period 1 (1999-2006),Yield (t/ha),69.04875,12.72197922326329,18.424633644002665,47.65,89.53
Period 2 (2006-2013),Area (ha),109742.85714285714,23976.29781978146,21.847706943305155,75600.0,133300.0
Period 2 (2006-2013),Production (tonnes),9087242.857142856,2466417.8436598713,27.1415420764417,5564800.0,11879200.0
Period 2 (2006-2013),Yield (t/ha),82.19714285714285,8.603318573445396,10.466688104229862,71.3,91.73
Period 3 (2013-2020),Area (ha),102167.14285714286,26712.34399067574,26.145728698733194,60972.0,134486.0
Period 3 (2013-2020),Production (tonnes),9097573.92,3650337.0499848924,40.12429118009181,4181400.0,12776170.0
Period 3 (2013-2020),Yield (t/ha),86.80571428571429,20.14860446544033,23.211149900941724,58.78,108.61
