District,Variable,n,Pearson_r,Pearson_p,Spearman_r,Spearman_p
Nashik,Drought index,5,-0.09736434950029117,0.8762280053030174,0.0,1.0
Nashik,Dry days (rain < 1 mm),5,-0.5162989419532895,0.3731291323709561,-0.49999999999999994,0.39100221895577053
Nashik,"ET (total, mm)",5,,,,
Nashik,"Evaporation (total, mm)",5,0.7566059308116494,0.13876201792646256,0.6,0.28475697986529375
Nashik,Heat days (Tmax >= 35C),5,-0.19605604259492704,0.7519822311674184,0.05129891760425771,0.934712848108234
Nashik,Mean temperature (C),5,0.14413626706601718,0.8171174460598496,0.0,1.0
Nashik,"Rainfall (total, mm)",5,0.5023106038205157,0.3884563800094401,0.19999999999999998,0.747060078104662
Solapur,Drought index,13,-0.09698184780097356,0.7526224587506368,0.19230769230769232,0.5290679872349875
Solapur,Dry days (rain < 1 mm),13,-0.19336814665103558,0.5267547976952734,-0.24517999370283933,0.4194518800892564
Solapur,"ET (total, mm)",13,0.1660116819804277,0.5877927022315472,0.21978021978021978,0.47061485147214255
Solapur,"Evaporation (total, mm)",13,-0.0073177402575867745,0.9810712626415663,-0.4835164835164835,0.0941346925969393
Solapur,Heat days (Tmax >= 35C),13,-0.43691497579183314,0.13548148509304248,-0.5958671703471957,0.03163093325160437
Solapur,Mean temperature (C),13,-0.5618201892918208,0.04569450968336203,-0.521978021978022,0.06729171199351018
Solapur,Moisture adequacy index,12,-0.4465147905332335,0.14563310176745337,-0.37762237762237766,0.22620604493502663
Solapur,"Rainfall (total, mm)",13,0.21807393161805014,0.47415354928181946,0.2692307692307692,0.37373304228189164
