District,Years,District_Mean_Yield_Mean,District_Mean_Yield_SD,District_Mean_Yield_CV_Pct,Min,Max
Nashik,15,83.65003655603657,8.773044588696603,10.487795283651312,72.7,102.78
Solapur,15,86.85060606060605,13.05680936066826,15.033642196528788,61.22727272727273,105.22999999999999
