Year,Area_hectares,Production_tonnes,Yield_tonnes_per_hectare,Year_Start,Area_Change_Pct,Production_Change_Pct,Yield_Change_Pct,Area_MA5,Production_MA5,Yield_MA5,Period,Scale_Category,Time_Index
1999-2000,66600,5962900.0,89.53,1999,,,,61900.0,4907700.0,78.55,Period 1 (1999-2006),Medium (50-100k ha),1
2000-2001,67100,5163900.0,76.96,2000,0.7507507507507505,-13.399520367606366,-14.039986596671516,58775.0,4506525.0,75.6275,Period 1 (1999-2006),Medium (50-100k ha),2
2001-2002,52000,3596300.0,69.16,2001,-22.503725782414307,-30.356900792037024,-10.135135135135132,53260.0,3902580.0,70.032,Period 1 (1999-2006),Medium (50-100k ha),3
2002-2003,49400,3303000.0,66.86,2002,-5.000000000000004,-8.155604371159242,-3.3256217466743787,43340.0,2910360.0,63.912,Period 1 (1999-2006),Small (<50k ha),4
2003-2004,31200,1486800.0,47.65,2003,-36.8421052631579,-54.986376021798364,-28.73167813341311,41240.0,2756640.0,64.05199999999999,Period 1 (1999-2006),Small (<50k ha),5
2004-2005,17000,1001800.0,58.93,2004,-45.51282051282052,-32.62039278988431,23.672612801678916,49540.0,3264940.0,63.348,Period 1 (1999-2006),Small (<50k ha),6
2005-2006,56600,4395300.0,77.66,2005,232.94117647058826,338.7402675184668,31.78347191583233,66320.0,4690740.0,65.628,Period 1 (1999-2006),Medium (50-100k ha),7
2006-2007,93500,6137800.0,65.64,2006,65.19434628975264,39.644620389962014,-15.477723409734734,75580.0,5506340.0,70.458,Period 1 (1999-2006),Medium (50-100k ha),8
2007-2008,133300,10432000.0,78.26,2007,42.56684491978611,69.96317898921438,19.226081657525906,87300.0,6573780.0,75.44200000000001,Period 2 (2006-2013),Large (≥100k ha),9
2008-2009,77500,5564800.0,71.8,2008,-41.860465116279066,-46.65644171779141,-8.254536161512915,101180.0,7998000.0,78.19,Period 2 (2006-2013),Medium (50-100k ha),10
2009-2010,75600,6339000.0,83.85,2009,-2.4516129032258083,13.912449683726269,16.78272980501392,108380.0,9146280.0,83.408,Period 2 (2006-2013),Medium (50-100k ha),11
2010-2011,126000,11516400.0,91.4,2010,66.66666666666667,81.67534311405585,9.0041741204532,104820.0,8707020.0,82.016,Period 2 (2006-2013),Large (≥100k ha),12
2011-2012,129500,11879200.0,91.73,2011,2.777777777777768,3.1502900211871854,0.36105032822757455,111480.0,9522780.0,85.064,Period 2 (2006-2013),Large (≥100k ha),13
2012-2013,115500,8235700.0,71.3,2012,-10.81081081081081,-30.6712573237255,-22.271884879537783,120760.0,10607180.0,87.57400000000001,Period 2 (2006-2013),Large (≥100k ha),14
2013-2014,110800,9643600.0,87.04,2013,-4.069264069264067,17.095086027902905,22.07573632538571,118040.0,9625320.0,81.05,Period 2 (2006-2013),Large (≥100k ha),15
2014-2015,122000,11761000.0,96.4,2014,10.108303249097483,21.956530756149164,10.753676470588225,104334.4,8085760.0,76.42,Period 3 (2013-2020),Large (≥100k ha),16
2015-2016,112400,6607100.0,58.78,2015,-7.868852459016395,-43.82195391548338,-39.02489626556017,102115.2,8700400.0,83.824,Period 3 (2013-2020),Large (≥100k ha),17
2016-2017,60972,4181400.0,68.58,2016,-45.75444839857651,-36.71353543914879,16.67233752977202,106852.4,9326914.0,85.41600000000001,Period 3 (2013-2020),Medium (50-100k ha),18
2017-2018,104404,11308900.0,108.32,2017,71.23269697566097,170.45726311761612,57.946923301253996,96638.6,7995377.4,80.526,Period 3 (2013-2020),Large (≥100k ha),19
2018-2019,134486,12776170.0,95.0,2018,28.813072296080612,12.974471434003298,-12.296898079763663,96154.0,9062983.488,90.492,Period 3 (2013-2020),Large (≥100k ha),20
2019-2020,70931,5103317.0,71.95,2019,-47.257707121930906,-60.05597139048713,-24.263157894736842,104949.5,10283379.36,95.97,Period 3 (2013-2020),Medium (50-100k ha),21
2020-2021,109977,11945130.44,108.61,2020,55.047863416559764,134.06600922498052,50.95205003474634,105131.33333333333,9941539.146666666,91.85333333333335,Period 3 (2013-2020),Large (≥100k ha),22
